Mach,CD Power-On
3.2,0.517978357
3.21,0.51736348
3.22,0.516750046
3.23,0.516138023
3.24,0.515527435
3.25,0.514918298
3.26,0.514310585
3.27,0.513704331
3.28,0.513099516
3.29,0.512496149
3.3,0.511894235
3.31,0.511293778
3.32,0.51069477
3.33,0.510097231
3.34,0.509501151
3.35,0.508906533
3.36,0.508313385
3.37,0.507721704
3.38,0.507131487
3.39,0.50654274
3.4,0.50595547
3.41,0.505369662
3.42,0.504785341
3.43,0.504202496
3.44,0.50362112
3.45,0.503041213
3.46,0.502462793
3.47,0.501885853
3.48,0.501310382
3.49,0.500736385
3.5,0.500163878
3.51,0.49959284
3.52,0.499023282
3.53,0.498455202
3.54,0.497888596
3.55,0.497323467
3.56,0.496759811
3.57,0.496197638
3.58,0.495636934
3.59,0.495077708
3.6,0.494519937
3.61,0.493963654
3.62,0.493408826
3.63,0.492855481
3.64,0.492303591
3.65,0.491753174
3.66,0.491204216
3.67,0.49065672
3.68,0.490110683
3.69,0.48956611
3.7,0.489022981
3.71,0.488481308
3.72,0.487941106
3.73,0.487402338
3.74,0.486865015
3.75,0.486329141
3.76,0.485794716
3.77,0.485261726
3.78,0.48473017
3.79,0.484200047
3.8,0.483671361
3.81,0.483144096
3.82,0.482618268
3.83,0.482093865
3.84,0.481570876
3.85,0.481049294
3.86,0.480501566
3.87,0.479955229
3.88,0.479410309
3.89,0.478866792
3.9,0.478324669
3.91,0.47778395
3.92,0.477244625
3.93,0.476706691
3.94,0.476170137
3.95,0.475634975
3.96,0.475101183
3.97,0.474568778
3.98,0.474037741
3.99,0.473508071
4,0.472979753
4.01,0.472482201
4.02,0.471985982
4.03,0.471491103
4.04,0.470997543
4.05,0.470505312
4.06,0.470014406
4.07,0.469524823
4.08,0.469036556
4.09,0.468549587
4.1,0.468063947
4.11,0.467579605
4.12,0.467096558
4.13,0.466614825
4.14,0.466134371
4.15,0.465655207
4.16,0.46517733
4.17,0.464700746
4.18,0.464225435
4.19,0.463751392
4.2,0.463278616
4.21,0.462807115
4.22,0.462336877
4.23,0.461867897
4.24,0.461400164
4.25,0.460933688
4.26,0.460468452
4.27,0.460004463
4.28,0.459541692
4.29,0.459080184
4.3,0.458619876
4.31,0.458160802
4.32,0.457702948
4.33,0.457246301
4.34,0.456790877
4.35,0.456336656
4.36,0.455883635
4.37,0.455431807
4.38,0.454981173
4.39,0.45453838
4.4,0.454112031
4.41,0.453686422
4.42,0.453261547
4.43,0.452837396
4.44,0.452414002
4.45,0.451991325
4.46,0.451569383
4.47,0.451148177
4.48,0.450727687
4.49,0.450307942
4.5,0.449888899
4.51,0.449470592
4.52,0.449053008
4.53,0.448636137
4.54,0.44821999
4.55,0.447804555
4.56,0.44738984
4.57,0.446975834
4.58,0.44656254
4.59,0.446149945
4.6,0.445738069
4.61,0.445326899
4.62,0.444916425
4.63,0.444506645
4.64,0.444097581
4.65,0.443689199
4.66,0.443281518
4.67,0.442874518
4.68,0.442468218
4.69,0.442062596
4.7,0.441657671
4.71,0.44125342
4.72,0.440849844
4.73,0.440446949
4.74,0.440044738
4.75,0.439643185
4.76,0.439242309
4.77,0.4388421
4.78,0.438442557
4.79,0.438043666
4.8,0.437645437
4.81,0.437247877
4.82,0.436850955
4.83,0.43645469
4.84,0.436059078
4.85,0.4356641
4.86,0.435269772
4.87,0.434876092
4.88,0.434483031
4.89,0.434090621
4.9,0.433698826
4.91,0.433307673
4.92,0.432917135
4.93,0.432527225
4.94,0.432137932
4.95,0.43174925
4.96,0.431361198
4.97,0.430973742
4.98,0.430586904
4.99,0.430200657
5,0.429815023
5.01,0.429531814
5.02,0.429174812
5.03,0.4288189
5.04,0.428464085
5.05,0.428110335
5.06,0.427757677
5.07,0.427406085
5.08,0.427055549
5.09,0.426706087
5.1,0.426357659
5.11,0.426010272
5.12,0.42566392
5.13,0.425318584
5.14,0.42497428
5.15,0.424630988
5.16,0.424288707
5.17,0.423947419
5.18,0.423607116
5.19,0.423267815
5.2,0.422929485
5.21,0.422592126
5.22,0.422255728
5.23,0.421920295
5.24,0.421585803
5.25,0.421252275
5.26,0.420919664
5.27,0.420588006
5.28,0.420257253
5.29,0.41992743
5.3,0.41959852
5.31,0.419270507
5.32,0.418943409
5.33,0.418617184
5.34,0.418291851
5.35,0.417967393
5.36,0.417643812
5.37,0.417321103
5.38,0.416999242
5.39,0.416678241
5.4,0.416358087
5.41,0.41603877
5.42,0.415720277
5.43,0.415402632
5.44,0.4150858
5.45,0.414769773
5.46,0.414454567
5.47,0.414140155
5.48,0.413826544
5.49,0.413513725
5.5,0.413201683
5.51,0.412890425
5.52,0.412579933
5.53,0.412270211
5.54,0.411961236
5.55,0.411653029
5.56,0.411345557
5.57,0.411038832
5.58,0.410732831
5.59,0.410427567
5.6,0.410123027
5.61,0.409819201
5.62,0.409516076
5.63,0.409213657
5.64,0.408911957
5.65,0.408610922
5.66,0.408310585
5.67,0.408010922
5.68,0.407711948
5.69,0.407413627
5.7,0.407115971
5.71,0.406818979
5.72,0.406522633
5.73,0.406226937
5.74,0.405931868
5.75,0.405637437
5.76,0.405343635
5.77,0.405050459
5.78,0.40475789
5.79,0.404465939
5.8,0.404174583
5.81,0.403883835
5.82,0.403593681
5.83,0.403304114
5.84,0.403015121
5.85,0.402726694
5.86,0.402438862
5.87,0.402151586
5.88,0.401864862
5.89,0.401578695
5.9,0.40129307
5.91,0.401007991
5.92,0.400723453
5.93,0.400439444
5.94,0.400155954
5.95,0.39987299
5.96,0.399590539
5.97,0.399308603
5.98,0.399027167
5.99,0.398746218
6,0.398465779
6.01,0.398194305
6.02,0.397933126
6.03,0.39767263
6.04,0.397412823
6.05,0.397153715
6.06,0.396895291
6.07,0.39663754
6.08,0.396380469
6.09,0.396124078
6.1,0.395868361
6.11,0.395613309
6.12,0.395358937
6.13,0.395105224
6.14,0.394852168
6.15,0.394599776
6.16,0.394348048
6.17,0.394096968
6.18,0.393846546
6.19,0.393596768
6.2,0.393347645
6.21,0.393099163
6.22,0.392851319
6.23,0.392604121
6.24,0.392357559
6.25,0.392111628
6.26,0.391866327
6.27,0.391621673
6.28,0.391377636
6.29,0.391134213
6.3,0.390891421
6.31,0.390649247
6.32,0.390407693
6.33,0.390166761
6.34,0.389926425
6.35,0.389686709
6.36,0.389447601
6.37,0.3892091
6.38,0.388971195
6.39,0.388733891
6.4,0.38849719
6.41,0.388261087
6.42,0.38802558
6.43,0.387790657
6.44,0.387556319
6.45,0.38732258
6.46,0.387089421
6.47,0.386856838
6.48,0.386624839
6.49,0.386393424
6.5,0.386162579
6.51,0.385932305
6.52,0.385702607
6.53,0.385473473
6.54,0.385244904
6.55,0.385016905
6.56,0.384789467
6.57,0.384562596
6.58,0.384336271
6.59,0.384110509
6.6,0.383885299
6.61,0.38366064
6.62,0.383436529
6.63,0.383212974
6.64,0.382989955
6.65,0.382767477
6.66,0.382545551
6.67,0.382324164
6.68,0.382103306
6.69,0.381882971
6.7,0.381663192
6.71,0.381443944
6.72,0.381225207
6.73,0.381007009
6.74,0.380789337
6.75,0.38057217
6.76,0.380355547
6.77,0.380139437
6.78,0.379923835
6.79,0.379708762
6.8,0.379494196
6.81,0.379280124
6.82,0.379066576
6.83,0.378853549
6.84,0.378641001
6.85,0.378428973
6.86,0.378217441
6.87,0.378006423
6.88,0.377795879
6.89,0.377585847
6.9,0.377376304
6.91,0.37716725
6.92,0.376958693
6.93,0.376750631
6.94,0.376543043
6.95,0.376335937
6.96,0.376129321
6.97,0.375923194
6.98,0.375717544
6.99,0.37551236
7,0.375311815
7.01,0.375120375
7.02,0.37492948
7.03,0.374739109
7.04,0.37454928
7.05,0.374359971
7.06,0.374171199
7.07,0.373982944
7.08,0.373795223
7.09,0.373608024
7.1,0.373421337
7.11,0.373235168
7.12,0.373049527
7.13,0.3728644
7.14,0.372679778
7.15,0.372495667
7.16,0.372312066
7.17,0.372128974
7.18,0.371946389
7.19,0.371764298
7.2,0.37158271
7.21,0.371401635
7.22,0.371221038
7.23,0.37104094
7.24,0.370861338
7.25,0.37068223
7.26,0.370503622
7.27,0.370325483
7.28,0.370147842
7.29,0.369970675
7.3,0.369794002
7.31,0.369617802
7.32,0.369442083
7.33,0.36926683
7.34,0.369092067
7.35,0.368917778
7.36,0.36874395
7.37,0.368570596
7.38,0.368397709
7.39,0.368225293
7.4,0.368053332
7.41,0.367881846
7.42,0.367710813
7.43,0.367540241
7.44,0.367370127
7.45,0.367200463
7.46,0.367031254
7.47,0.366862511
7.48,0.366694209
7.49,0.36652635
7.5,0.366358949
7.51,0.366186502
7.52,0.366014529
7.53,0.365843027
7.54,0.365671994
7.55,0.365501418
7.56,0.36533131
7.57,0.365161665
7.58,0.364992483
7.59,0.36482375
7.6,0.364655479
7.61,0.364487664
7.62,0.364320306
7.63,0.364153391
7.64,0.363986939
7.65,0.363820918
7.66,0.363655356
7.67,0.363490229
7.68,0.363325562
7.69,0.363161316
7.7,0.362997524
7.71,0.362834163
7.72,0.362671241
7.73,0.362508757
7.74,0.362346699
7.75,0.362185076
7.76,0.362023885
7.77,0.361863126
7.78,0.361702788
7.79,0.361542879
7.8,0.361383395
7.81,0.361224337
7.82,0.361065692
7.83,0.360907459
7.84,0.360749658
7.85,0.360592265
7.86,0.360435291
7.87,0.360278722
7.88,0.360122578
7.89,0.359966829
7.9,0.359811499
7.91,0.359656571
7.92,0.35950205
7.93,0.359347938
7.94,0.359194221
7.95,0.35904091
7.96,0.358888
7.97,0.358735483
7.98,0.358583365
7.99,0.358431647
8,0.358280315
8.01,0.35812938
8.02,0.357978829
8.03,0.357828683
8.04,0.357678905
8.05,0.357529531
8.06,0.357380535
8.07,0.357231926
8.08,0.357083693
8.09,0.356935846
8.1,0.356788382
8.11,0.356641291
8.12,0.35649458
8.13,0.356348238
8.14,0.356202275
8.15,0.35605669
8.16,0.35591148
8.17,0.355766633
8.18,0.355622149
8.19,0.35547804
8.2,0.355334309
8.21,0.355190926
8.22,0.355047913
8.23,0.354905267
8.24,0.354762975
8.25,0.354621046
8.26,0.354479472
8.27,0.354338258
8.28,0.354197407
8.29,0.354056903
8.3,0.353916755
8.31,0.353776968
8.32,0.353637524
8.33,0.353498424
8.34,0.353359678
8.35,0.353221284
8.36,0.35308323
8.37,0.352945535
8.38,0.352808169
8.39,0.35267115
8.4,0.352534478
8.41,0.352398138
8.42,0.352262143
8.43,0.35212648
8.44,0.351991159
8.45,0.351856177
8.46,0.351721526
8.47,0.351587199
8.48,0.351453212
8.49,0.35131956
8.5,0.351186231
8.51,0.351053237
8.52,0.350920563
8.53,0.350788223
8.54,0.350656211
8.55,0.350524519
8.56,0.350393142
8.57,0.350262093
8.58,0.350131372
8.59,0.350000963
8.6,0.349870878
8.61,0.349741105
8.62,0.349611652
8.63,0.349482511
8.64,0.349353689
8.65,0.349225177
8.66,0.349096978
8.67,0.348969097
